Altium Designer Pick and Place Locations
C:\Users\phili\polybox\05_AltiumProjects\FPGA Peripheral Board\01_Carrier_Board\Documentation\Pick and Place\FPGA_Peripheral_Board_Pick and Place.csv

========================================================================================================================
File Design Information:

Date:       06.03.21
Time:       08:46
Revision:   Not in VersionControl
Variant:    main
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R12_CON1","0R","BottomLayer","RESC1005X40X25LL05T10","19.7840","46.0000","360",""
"R10","0R","BottomLayer","RESC1005X40X25LL05T10","37.2347","34.2290","270",""
"R9","0R","BottomLayer","RESC1005X40X25LL05T10","24.7572","42.3729","270",""
"R7","10k","BottomLayer","RESC1005X40X25LL05T10","19.8124","51.5154","360",""
"R6","2k2","BottomLayer","RESC1005X40X25LL05T10","19.7849","50.6136","360",""
"R5","2k2","BottomLayer","RESC1005X40X25LL05T10","19.7794","52.4942","180",""
"R4","2k2","BottomLayer","RESC1005X40X25LL05T10","25.2908","40.4254","180",""
"R3","2k2","BottomLayer","RESC1005X40X25LL05T10","25.2821","39.2617","180",""
"R2","0R","TopLayer","RESC1005X40X25LL05T10","-11.0000","12.0000","0",""
"R1","0R","TopLayer","RESC1005X40X25LL05T10","-11.0000","51.0000","180",""
"C3","1uF","TopLayer","CAPC1005X60X30LL05T10","-11.0000","11.0000","180",""
"C1","1uF","TopLayer","CAPC1005X60X30LL05T10","-11.0000","52.0000","0",""
